constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,others
1,33607,18800.0,55.9,18496.0,30.8,20.2,8.3,20.7,8.1,3.2,1.4,7.4
2,31973,19672.0,61.5,19296.0,30.4,21.4,13.1,16.3,7.9,2.8,1.5,6.6
3,31535,19824.0,62.9,19495.0,30.2,13.0,17.7,20.5,9.2,2.2,1.1,6.1
4,29661,16740.0,56.4,16427.0,31.6,18.5,9.0,20.6,9.0,3.2,1.2,7.0
5,30062,18249.0,60.7,17972.0,30.6,12.6,14.2,21.6,10.5,2.3,0.9,7.3
6,31854,20738.0,65.1,20510.0,24.8,8.0,34.1,12.0,13.9,0.7,1.4,5.2
7,30986,17818.0,57.5,17537.0,28.7,10.9,20.3,17.9,12.9,1.9,1.2,6.3
8,29261,19427.0,66.4,19236.0,25.1,9.6,32.5,13.3,12.4,0.7,1.7,4.7
9,34429,20939.0,60.8,20626.0,30.6,11.3,19.5,19.2,10.2,1.7,1.1,6.2
