feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
nan,Erststimmen,nan,Zweitstimmen,nan,Erststimmen,nan,Zweitstimmen,nan,Erststimmen,nan,Zweitstimmen,nan
nan,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,"Prozent-
punkte",Anzahl,"Prozent-
punkte"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wahlberechtigte,1410083,x,1410083,x,1447955,x,1447955,x,-37872,x,-37872,x
ohne Wahlschein,962631,68.3,962631,68.3,1123608,77.6,1123608,77.6,-160977,-9.3,-160977,-9.3
mit Wahlschein,447452,31.7,447452,31.7,324358,22.4,324358,22.4,123094,9.3,123094,9.3
Wählende,885585,62.8,885585,62.8,975829,67.4,974347,67.3,-90244,-4.6,-88762,-4.5
darunter Briefwählende,401865,45.4,401865,45.4,303228,31.1,301442,30.9,98637,14.3,100423,14.4
Abgegebene Stimmen,884625,x,884532,x,973527,x,973314,x,-88902,x,-88782,x
Ungültige Stimmen,7879,0.9,6381,0.7,17322,1.8,15417,1.6,-9443,-0.9,-9036,-0.9
Gültige Stimmen,876746,99.1,878151,99.3,956205,98.2,957897,98.4,-79459,0.9,-79746,0.9
SPD,189097,21.6,174414,19.9,256008,26.8,221917,23.2,-66911,-5.2,-47503,-3.3
CDU,286416,32.7,273235,31.1,222323,23.3,199474,20.8,64093,9.4,73761,10.3
GRÜNE,182466,20.8,174063,19.8,168386,17.6,162860,17,14080,3.2,11203,2.8
DIE LINKE,73831,8.4,78731,9,88011,9.2,97076,10.1,-14180,-0.8,-18345,-1.2
AfD,59114,6.7,59908,6.8,115378,12.1,115922,12.1,-56264,-5.3,-56014,-5.3
FDP,38228,4.4,46741,5.3,70213,7.3,82416,8.6,-31985,-3,-35675,-3.3
Die PARTEI,14166,1.6,10754,1.2,9287,1,16840,1.8,4879,0.6,-6086,-0.5
Tierschutzpartei,22311,2.5,18851,2.1,x,x,17430,1.8,22311,2.5,1421,0.3
PIRATEN,1078,0.1,2836,0.3,18505,1.9,15590,1.6,-17427,-1.8,-12754,-1.3
Graue Panther,x,x,3213,0.4,x,x,10381,1.1,x,x,-7168,-0.7
NPD,x,x,489,0.1,967,0.1,3464,0.4,-967,-0.1,-2975,-0.3
Gesundheitsforschung,x,x,1547,0.2,x,x,3384,0.4,x,x,-1837,-0.2
LKR,151,0,243,0,229,0,3736,0.4,-78,0,-3493,-0.4
DKP,x,x,820,0.1,108,0,1228,0.1,-108,0,-408,0
SGP,x,x,375,0,529,0.1,1081,0.1,-529,-0.1,-706,-0.1
BüSo,x,x,164,0,62,0,627,0.1,-62,0,-463,0
MENSCHLICHE WELT,x,x,163,0,378,0,839,0.1,-378,0,-676,-0.1
B*,x,x,607,0.1,x,x,289,0,x,x,318,0
ÖDP,366,0,934,0.1,x,x,187,0,366,0,747,0.1
dieBasis,6009,0.7,4347,0.5,x,x,x,x,6009,0.7,4347,0.5
Bildet Berlin!,x,x,790,0.1,x,x,x,x,x,x,790,0.1
Deutsche Konservative,x,x,16,0,x,x,x,x,x,x,16,0
Die Grauen,x,x,2916,0.3,x,x,x,x,x,x,2916,0.3
Neue Demokraten,x,x,69,0,x,x,x,x,x,x,69,0
REP,15,0,44,0,x,x,x,x,15,0,44,0
du.,511,0.1,1684,0.2,x,x,x,x,511,0.1,1684,0.2
BÜNDNIS21,36,0,382,0,x,x,x,x,36,0,382,0
DIE FRAUEN,111,0,x,x,x,x,x,x,111,0,x,x
FREIE WÄHLER,2057,0.2,1738,0.2,x,x,x,x,2057,0.2,1738,0.2
Klimaliste Berlin,x,x,2292,0.3,x,x,x,x,x,x,2292,0.3
MIETERPARTEI,308,0,1736,0.2,207,0,x,x,101,0,1736,0.2
Die Humanisten,x,x,1382,0.2,x,x,x,x,x,x,1382,0.2
Team Todenhöfer,x,x,4819,0.5,x,x,x,x,x,x,4819,0.5
Volt,x,x,7848,0.9,x,x,x,x,x,x,7848,0.9
EB,60,0,x,x,x,x,x,x,60,0,x,x
EB,41,0,x,x,x,x,x,x,41,0,x,x
EB,153,0,x,x,x,x,x,x,153,0,x,x
EB,55,0,x,x,x,x,x,x,55,0,x,x
EB,39,0,x,x,x,x,x,x,39,0,x,x
EB,28,0,x,x,x,x,x,x,28,0,x,x
EB,45,0,x,x,x,x,x,x,45,0,x,x
EB,33,0,x,x,x,x,x,x,33,0,x,x
EB,21,0,x,x,x,x,x,x,21,0,x,x
Sonstige,x,x,x,x,5614,0.6,3156,0.3,x,x,x,x
