electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1.0,19068.0,"Lemm, Gordon"
SPD,2.0,9534.0,"Ollech, Liane"
SPD,3.0,6356.0,"Krug, Günther Jochen Heinz"
SPD,4.0,4767.0,"Hoffmann, Marion"
SPD,5.0,3813.6,"Linke, Christian"
SPD,6.0,3178.0,"Lehmann, Luise"
SPD,7.0,2724.0,"Ulbrich, Wolfhart"
SPD,8.0,2383.5,"Geidel, Maria Elena"
SPD,9.0,2118.667,"Hofmann, Jan"
SPD,10.0,1906.8,"Jehne, Stephanie Inka"
nan,nan,nan,nan
CDU,1.0,35011.0,"Zivkovic, Nadja"
CDU,2.0,17505.5,"Herrmann, Alexander"
CDU,3.0,11670.333,"Löschke, Jana"
CDU,4.0,8752.75,"Kräning, Matthias"
CDU,5.0,7002.2,"Lehmann, Michael"
CDU,6.0,5835.167,"Martin, Johannes"
CDU,7.0,5001.571,"Schaubert, Medina"
CDU,8.0,4376.375,"Raschke, Benjamin"
CDU,9.0,3890.111,"Schröder, Maximilian"
CDU,10.0,3501.1,"Schroeder, Bodo"
CDU,11.0,3182.818,"Suck, Stefan"
CDU,12.0,2917.583,"Deutscher, Jessica"
CDU,13.0,2693.154,"Glowatz, Tobias"
CDU,14.0,2500.786,"Korneev, Alexander"
CDU,15.0,2334.067,"Dr. Bugenhagen-Gölden, 
Frank Harald"
CDU,16.0,2188.188,"Patzwall, Martina"
CDU,17.0,2059.471,"Maikowski, Ilka"
CDU,18.0,1945.056,"Kohlmeier, Steffen"
CDU,19.0,1842.684,"Orzschig, Jesko"
nan,nan,nan,nan
GRÜNE,1.0,6081.0,"Münster, Chantal"
GRÜNE,2.0,3040.5,"Von Neumann, Nickel"
GRÜNE,3.0,2027.0,"Thiel-Klein, Anne"
nan,nan,nan,nan
DIE LINKE,1.0,17575.0,"Witt, Juliane Beate"
DIE LINKE,2.0,8787.5,"Fingarow, Sarah"
DIE LINKE,3.0,5858.333,"Wagner-Boysen, Stefanie"
DIE LINKE,4.0,4393.75,"Ronneburg, Kristian"
DIE LINKE,5.0,3515.0,"Tielebein, Björn"
DIE LINKE,6.0,2929.167,"Ostehr, Steffen"
DIE LINKE,7.0,2510.714,"Kittler, Regina"
DIE LINKE,8.0,2196.875,"Kelz, Steven"
DIE LINKE,9.0,1952.778,"Wilke, Janine"
nan,nan,nan,nan
AfD,1.0,21825.0,"Auricht, Jeannette"
AfD,2.0,10912.5,"Lindemann, Gunnar Norbert"
AfD,3.0,7275.0,"Dr. Henke, Sergej"
AfD,4.0,5456.25,"Wiemann, Werner"
AfD,5.0,4365.0,"Keßler, Rolf"
AfD,6.0,3637.5,"Geißler, Jörn"
AfD,7.0,3117.857,"Pochandke, Jens Walter"
AfD,8.0,2728.125,"Koblischke, Martin"
AfD,9.0,2425.0,"Erler, Sergej"
AfD,10.0,2182.5,"Krushinskij, Konstantin"
AfD,11.0,1984.091,"Weidehoff, Thomas"
AfD,12.0,1818.75,"Dummer, Anneliese"
nan,nan,nan,nan
Tierschutzpartei,1.0,4860.0,"Seidel-Grothe, Ina"
Tierschutzpartei,2.0,2430.0,"Zentner, Harald Gerhard"
