feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,192325,x,x,198575,x,x
Wählende,109951,57.2,x,124794,62.8,x
darunter Briefwählende,48942,44.5,x,35639,28.6,x
Abgegebene Stimmen,109951,x,x,124794,x,x
Mindeststimmen (3%),3299,3,x,3744,3,x
Ungültige Stimmen,984,0.9,x,1949,1.6,x
Gültige Stimmen,108967,99.1,x,122845,98.4,x
SPD,23415,21.5,13,26331,21.4,13
CDU,44185,40.5,25,43717,35.6,21
GRÜNE,13744,12.6,7,12752,10.4,6
DIE LINKE,4653,4.3,2,6637,5.4,3
AfD,10810,9.9,6,17696,14.4,8
FDP,4681,4.3,2,8113,6.6,4
Die PARTEI,1308,1.2,0,1560,1.3,x
Tierschutzpartei,3195,2.9,0,x,x,x
NPD,91,0.1,0,551,0.4,x
ÖDP,202,0.2,0,x,x,x
TIERSCHUTZ hier!,679,0.6,0,x,x,x
dieBasis,1245,1.1,0,x,x,x
Die Grauen,607,0.6,0,x,x,x
FREIE WÄHLER,152,0.1,0,x,x,x
BÄRLÄ,x,x,x,5488,4.5,x
Übrige,nan,nan,nan,nan,nan,nan
