party,01_mitte,02_friedrichshain_kreuzberg,03_pankow,04_charlottenburg_wilmersdorf,05_spandau,06_steglitz_zehlendorf,07_tempelhof_schöneberg,08_neukölln,09_treptow_köpenick,10_marzahn_hellersdorf,11_lichtenberg,12_reinickendorf,total
SPD,10,8,9,12,14,11,12,15,13,10,9,13,136
CDU,12,8,12,18,23,22,19,17,14,19,15,25,204
GRÜNE,18,21,15,14,6,13,14,10,7,3,7,7,135
DIE LINKE,10,12,11,4,2,2,5,9,9,9,14,2,89
AfD,3,2,6,3,6,3,3,4,8,12,8,6,64
FDP,2,2,2,4,2,4,2,0,2,0,0,2,22
Die PARTEI,0,2,0,0,0,0,0,0,0,0,0,0,2
Tierschutzpartei,0,0,0,0,2,0,0,0,2,2,2,0,8
Insgesamt,55,55,55,55,55,55,55,55,55,55,55,55,660
SPD,1,1,1,1,2,1,1,2,1,1,1,2,15
CDU,2,1,2,3,3,3,3,2,2,3,2,3,29
GRÜNE,2,3,2,2,0,2,2,1,1,0,1,1,17
DIE LINKE,1,1,1,0,0,0,0,1,1,1,1,0,7
AfD,0,0,0,0,1,0,0,0,1,1,1,0,4
Insgesamt,6,6,6,6,6,6,6,6,6,6,6,6,72
