feature,year_1990,year_1995,year_1999,year_2001,year_2006,year_2011,year_2016,year_2021,year_2023
Gültige Zweitstimmen,724536,610647,597168,624103,533971,588281,680546,768111,638709
SPD,232385,123217,106505,144990,159066,169394,131022,148750,104603
CDU,180790,144394,160742,77694,60611,83294,88957,110000,154993
GRÜNE ¹,82846,61207,38480,36828,55966,79430,85502,130178,104901
DIE LINKE ²,170666,221731,235890,297251,149985,133312,159364,149432,106388
AfD,x,x,x,x,x,x,115847,79577,77963
FDP,40863,6744,6749,32772,25942,7191,27308,46810,23675
PIRATEN,x,x,x,x,x,59609,12814,3540,2309
Sonstige,16986,53354,48802,34568,82401,56051,59732,99824,63877
