electoral_district_id,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
2,29202,19265,66,18890,27.5,21.5,11.6,6.7,11,6.9,14.8
3,32292,22094,68.4,21573,25.2,22.4,13.4,7,9.7,7.5,14.8
4,31422,22684,72.2,21984,26.6,29.9,9.2,4.6,10.5,7.7,11.5
5,31858,24968,78.4,24679,23.3,33,13,4.2,8.1,9.1,9.2
Insgesamt,158696,112059,70.6,109834,25.7,26.6,11.6,5.6,10,7.8,12.8
,,,,,,,,,,,
,Steglitz-Zehlendorf,,,,,,,,,,
1,31739,25950,81.8,25703,22.7,19.5,24.6,8.5,4.6,9.2,10.9
2,31032,24641,79.4,24359,24.4,20,21.3,8.1,5.6,9.2,11.4
3,33381,27890,83.6,27619,22.3,27.4,20.5,5.2,4.7,11.8,8.2
4,29051,22982,79.1,22786,24.4,28.3,16,5.1,6.3,10.1,9.7
5,29636,22444,75.7,22143,24.9,26,14.3,5.6,7.6,9.9,11.7
6,31274,26443,84.6,26278,20.5,27.6,20.8,6.3,4.3,12.2,8.3
7,29712,25619,86.2,25449,20.2,28.9,19.9,4.7,4.2,14.1,8.1
Insgesamt,215825,175969,81.5,174337,22.7,25.4,19.8,6.2,5.3,11,9.7
,,,,,,,,,,,
,Tempelhof-Schöneberg,,,,,,,,,,
1,33773,26141,77.4,25902,20.5,13.8,29.9,13.7,3.7,7.1,11.2
2,32542,25701,79,25476,19.8,10.6,33,15.3,3.3,5.4,12.5
3,33398,27855,83.4,27613,22.4,15.4,30.8,10.4,3.5,7.2,10.2
4,32500,24879,76.6,24633,21.9,17.3,23.1,11.9,5.4,6.5,13.9
5,32843,23475,71.5,23148,25.6,24.5,13.3,7.2,7.9,7.7,13.8
6,32036,23740,74.1,23399,25.2,30.9,10.6,4.5,9.1,9,10.7
7,32513,24985,76.8,24648,23.6,33.9,10.6,4.2,8.7,8.6,10.4
Insgesamt,229605,176776,77,174819,22.6,20.6,22,9.7,5.8,7.3,11.8
,,,,,,,,,,,
,Neukölln,,,,,,,,,,
1,31778,23821,75,23580,16.9,5.6,32.1,26.4,3,2.7,13.2
2,31859,22905,71.9,22683,16.9,5.1,31.9,26.9,3.1,2.5,13.6
3,33071,21044,63.6,20727,25.6,10.5,19.8,19.2,5.9,4,15.1
4,32909,22004,66.9,21453,36.3,23.7,6.1,5.2,10.3,6.4,12
5,33243,24675,74.2,24342,33.1,24.8,9.4,5,9.2,7.3,11.3
6,32755,24489,74.8,24153,34.2,26.7,6.9,4.1,10.5,7.3,10.4
Insgesamt,195615,138938,71,136938,27.2,16.2,17.6,14.3,7,5.1,12.5
,,,,,,,,,,,
,Treptow-Köpenick,,,,,,,,,,
1,35700,27211,76.2,26866,18.7,9.8,20.6,23.1,8.5,4.8,14.5
2,35474,26486,74.7,26203,24,11.6,12.7,19.1,11.5,5.9,15.3
3,35385,26680,75.4,26363,21.7,16.7,9.8,14.8,14.9,7.3,14.7
4,35773,27865,77.9,27569,21.4,15.8,12.1,17.3,12,7.9,13.5
5,29814,22667,76,22342,23.1,15,8.5,17.9,14.6,7,13.9
6,33802,27240,80.6,26921,21.2,16.5,13.5,19.6,10.4,6.8,11.8
Insgesamt,205948,158149,76.8,156264,21.6,14.2,13,18.7,11.9,6.6,13.9
,,,,,,,,,,,
,Marzahn-Hellersdorf,,,,,,,,,,
1,31417,18762,59.7,18467,20.1,12.7,5.3,18.6,21.7,5.2,16.3
2,33035,21821,66.1,21485,23.1,15.6,5.5,20.9,17.2,4.7,13.1
3,33082,20156,60.9,19821,19.9,13.9,5.4,18.3,20.9,4.9,16.8
4,34811,26510,76.2,26214,17.5,27.5,7.9,18.3,12.5,4.7,11.5
5,33629,28677,85.3,28411,18.8,29,8.9,14.7,11.8,6.4,10.3
6,31267,20741,66.3,20443,19.5,20.9,5.9,17.9,16.6,5,14.2
Insgesamt,197241,136667,69.3,134841,19.7,20.9,6.7,17.9,16.2,5.2,13.4
,,,,,,,,,,,
,Lichtenberg,,,,,,,,,,
