district_name,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,above_70,above_70_percentage
Mitte,206304,20852,10.1,50240,24.4,34962,16.9,47967,23.3,23282,11.3,29001,14.1
Friedrichshain-Kreuzberg,171314,13694,8,43230,25.2,40787,23.8,41226,24.1,16014,9.3,16363,9.6
Pankow,286166,17826,6.2,51046,17.8,58781,20.5,82787,28.9,30852,10.8,44874,15.7
Charlottenburg-Wilmersdorf,218928,17110,7.8,31955,14.6,28440,13,56051,25.6,34346,15.7,51026,23.3
Spandau,161957,14270,8.8,22852,14.1,20290,12.5,42742,26.4,24377,15.1,37426,23.1
Steglitz-Zehlendorf,219978,17084,7.8,25574,11.6,27167,12.3,59569,27.1,33904,15.4,56680,25.8
Tempelhof-Schöneberg,233982,18919,8.1,36226,15.5,33112,14.2,62018,26.5,35403,15.1,48304,20.6
Neukölln,200697,17418,8.7,39881,19.9,31805,15.8,47690,23.8,26444,13.2,37459,18.7
Treptow-Köpenick,206897,13279,6.4,33763,16.3,32479,15.7,54095,26.1,26836,13,46445,22.4
Marzahn-Hellersdorf,199894,12645,6.3,30940,15.5,29665,14.8,53243,26.6,38180,19.1,35221,17.6
Lichtenberg,203834,13013,6.4,38786,19,33562,16.5,47387,23.2,29402,14.4,41684,20.4
Reinickendorf,180572,14781,8.2,23853,13.2,21385,11.8,47870,26.5,27987,15.5,44696,24.8
