electoral_district_id,electoral_district_name,eligible_voters,voters,valid_second_votes,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_piraten,party_fdp,party_npd,party_die_partei,party_freie_wähler,party_pro_deutschland,party_ödp,party_big,party_rep,party_büso,party_mlpd,party_psg
75.0,Berlin-Mitte,x,69.4,98.5,22.6,26.1,18.7,16.7,3.9,4.7,3.7,0.9,1.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1
76.0,Berlin-Pankow,x,74.4,98.7,23.5,22.0,25.2,14.1,4.8,3.9,2.5,1.5,1.1,0.4,0.3,0.2,0.0,0.1,0.1,0.1,0.1
77.0,Berlin-Reinickendorf,x,73.0,98.2,40.1,26.4,7.9,8.7,6.0,2.6,4.4,1.5,0.8,0.5,0.3,0.2,0.2,0.2,0.1,0.0,0.0
78.0,Berlin-Spandau –Charlottenburg Nord,x,69.6,98.0,36.6,28.9,9.5,8.2,5.8,3.1,3.8,1.4,0.8,0.4,0.4,0.2,0.4,0.2,0.1,0.1,0.0
79.0,Berlin-Steglitz-Zehlendorf,x,79.8,98.8,37.2,25.6,7.2,13.5,5.3,2.5,6.4,0.6,0.7,0.3,0.2,0.2,0.1,0.1,0.1,0.0,0.0
80.0,Berlin-Charlottenburg-Wilmersdorf,x,77.6,98.9,32.5,27.1,8.9,15.4,4.8,2.6,6.8,0.4,0.6,0.3,0.1,0.2,0.1,0.1,0.1,0.0,0.0
81.0,Berlin-Tempelhof-Schöneberg,x,75.3,98.4,31.7,27.4,10.3,15.4,4.6,3.2,4.1,0.9,0.9,0.4,0.3,0.2,0.3,0.1,0.1,0.0,0.0
82.0,Berlin-Neukölln,x,68.5,98.0,29.0,26.2,14.3,13.9,4.2,4.1,3.0,1.9,1.5,0.5,0.3,0.2,0.4,0.2,0.1,0.1,0.1
83.0,Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost,x,74.3,98.6,15.4,24.0,25.1,20.8,2.8,5.8,2.2,0.7,1.9,0.3,0.2,0.3,0.4,0.1,0.1,0.1,0.1
84.0,Berlin-Treptow - Köpenick,x,73.6,98.6,25.4,21.3,29.5,7.4,5.5,3.5,2.0,2.6,1.0,0.6,0.4,0.2,0.1,0.2,0.1,0.1,0.1
85.0,Berlin-Marzahn - Hellersdorf,x,65.1,98.4,26.0,19.2,32.9,3.9,6.4,3.1,1.7,3.9,0.9,0.6,0.9,0.2,0.1,0.2,0.1,0.1,0.1
86.0,Berlin-Lichtenberg,x,67.4,98.4,23.1,20.4,34.6,5.8,5.5,3.7,1.6,2.6,1.0,0.6,0.4,0.2,0.1,0.2,0.1,0.1,0.1
