id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_graue_panther,party_npd,party_gesundheitsforschung,party_lkr,party_dkp,party_sgp,party_büso,party_menschliche_welt,party_b,party_ödp,party_die_basis,party_bildet_berlin,party_dl,party_deutsche_konservative,party_die_grauen,party_neue_demokraten,party_rep,party_du,party_bündnis21,party_die_frauen,party_freie_wähler,party_klimaliste_berlin,party_ld,party_mieterpartei,party_die_humanisten,party_team_todenhöfer,party_volt,individual_applicant_1,individual_applicant_2,individual_applicant_3,individual_applicant_4,individual_applicant_5,individual_applicant_6,individual_applicant_7,individual_applicant_8,individual_applicant_9,individual_applicant_10,individual_applicant_11,individual_applicant_12,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01,01,203886,146306,57580,0,120218,52261,119170,923,21555,24876,35837,18613,6668,5438,2183,2542,218,0,0,0,0,0,0,0,0,0,76,934,0,0,0,0,0,15,0,0,111,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,63,0,58.963342259890325,0.7677718810826998,99.1282503452062
02,02,167015,116524,50491,0,107749,45790,106942,715,16672,14730,37718,22842,3878,3323,3672,2617,95,0,0,0,0,0,0,0,0,0,87,849,0,0,0,0,0,0,143,0,0,0,0,0,197,0,0,0,38,0,0,0,53,0,0,28,0,0,0,0,64.51456456006946,0.663579244354936,99.2510371325952
03,03,280603,184120,96483,0,189607,87844,188039,1398,32636,42737,45524,30089,17669,6221,4229,5336,106,0,0,0,0,0,0,0,0,0,44,1758,0,22,0,0,0,0,103,0,0,1097,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.57126616607805,0.737314550623131,99.17302631231969
04,04,214149,140029,74120,0,142157,67989,140959,1011,31372,45960,32309,9214,7150,8328,2129,3002,85,0,0,0,56,0,0,0,0,0,38,920,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,33,0,0,66.38228523131092,0.7111855202346701,99.1572697791878
05,05,157093,115277,41813,3,89377,37865,88325,977,20953,35366,8779,3638,9814,3560,1430,3761,0,0,0,0,34,0,0,0,0,0,82,659,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,60,0,153,0,0,0,0,0,0,0,0,56.894323744533494,1.09312239166676,98.82296340221757
06,06,214308,132153,82155,0,152466,76340,151127,1166,31765,57188,30648,6760,8416,9357,1521,3523,391,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.14340108628703,0.7647606679521992,99.12177141133105
07,07,228306,149906,78400,0,149122,71800,147605,1353,33568,47568,33469,10729,9140,5568,2272,3422,225,0,0,0,0,0,0,0,0,0,120,953,0,0,0,0,0,0,0,0,0,408,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.31672404579818,0.9073107925054653,98.9827121417363
08,08,193111,136366,56744,1,111691,50986,110496,1120,25334,32612,19681,15900,8309,2660,2065,2586,0,0,0,0,61,0,0,0,0,0,24,653,0,0,0,0,0,0,368,0,0,122,0,0,0,0,0,0,0,0,0,0,0,55,0,0,45,0,0,21,57.83772027486782,1.0027665613164891,98.93008389216679
09,09,205670,144797,60873,0,131557,55127,130182,1238,27936,34527,14714,21932,18099,4144,1924,4095,0,0,252,0,166,0,0,0,0,0,146,1013,0,0,0,0,0,0,0,0,0,1204,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.96508970681188,0.9410369649657562,98.9548256649209
10,10,196840,145585,51255,0,110783,46567,109492,1184,16932,38129,5824,17243,20865,2781,1837,4573,0,0,263,0,0,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.28073562284088,1.068756036576009,98.83465874728073
11,11,197377,142243,55134,0,117697,50548,116412,1175,19543,31665,13140,25258,15958,2652,549,5261,0,0,51,0,65,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.63055472522127,0.9983262105236328,98.9082134633848
12,12,173418,119917,53501,0,107134,48716,105818,1149,23585,44632,12383,4255,10460,4349,1309,3206,64,0,0,0,0,0,0,0,0,0,26,702,0,0,0,0,0,0,0,0,0,702,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.77790079461186,1.0724886590624825,98.77163178822784
