id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_die_grauen,party_freie_wähler,party_verjüngungsforschung,party_ödp,party_du,party_v_partei3,party_dkp,party_mlpd,party_büso,party_sgp,party_wir_bürger,party_heimat,party_die_humanisten,party_team_todenhöfer,party_volt,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01,01,207010,134737,72273,0,140655,66424,138799,1856,16526,19610,28881,42486,7810,11040,2271,2473,579,811,746,209,203,245,111,196,88,36,42,63,78,333,2746,1216,67.94599294720062,1.3195407202019125,98.68045927979809
02,02,169836,105576,64260,0,122900,59439,121651,1249,8673,22903,21600,46433,4720,6693,2939,2071,543,511,513,146,146,286,97,208,70,26,33,35,24,260,1714,1007,72.36392755363998,1.016273393002441,98.98372660699756
03,03,282057,193371,88686,0,163969,79468,162460,1509,25772,24116,24971,43550,22085,6073,3680,4549,749,1583,1224,342,296,325,114,384,79,54,55,207,105,337,620,1190,58.13328511612901,0.9202959095926669,99.07970409040733
04,04,216244,136361,79883,0,144852,72914,143228,1624,31193,9468,31716,37537,9110,14813,1680,2469,462,739,867,128,172,141,71,90,25,44,20,79,39,273,1091,1001,66.98544237065536,1.1211443404302321,98.87885565956977
05,05,159238,105928,53310,0,111246,48365,108526,2720,24000,5244,30031,14857,11620,10919,1678,3860,416,1453,998,342,217,150,80,48,43,43,27,83,111,187,1651,468,69.86146522814906,2.445031731477986,97.55496826852202
06,06,217506,119304,98202,0,171803,90966,169580,2223,39905,8076,40677,38460,10036,20813,1669,3326,556,1177,1335,328,288,164,115,55,13,48,28,95,55,262,1010,1089,78.98770608626889,1.293923854647474,98.70607614535253
07,07,231477,136349,95128,0,172069,87571,169338,2731,31751,12706,41215,42791,10921,15633,2009,3736,644,1377,1449,325,310,226,126,117,41,66,36,98,84,233,2350,1094,74.33524713038445,1.5871539905503025,98.4128460094497
08,08,196593,126836,69757,0,134004,63148,131524,2480,22400,15616,31498,29474,10089,9325,1973,3226,451,1135,961,275,169,264,77,120,87,61,34,115,98,197,3234,645,68.16315942073217,1.850691024148533,98.14930897585147
09,09,206999,127612,79387,0,156625,72603,153871,2754,20562,24609,35690,24686,19322,12190,2957,4799,596,2137,2133,549,314,218,123,264,92,90,34,269,378,351,726,782,75.66461673727892,1.7583399840383083,98.2416600159617
10,10,198002,133735,64267,0,133719,59002,130849,2870,21887,20755,29991,11207,22665,9372,2108,4990,531,2434,1301,709,140,178,87,298,84,97,48,164,404,284,509,606,67.5341663215523,2.1462918508214988,97.8537081491785
11,11,200461,131034,69427,0,143826,63892,141167,2659,16891,25840,32403,21777,17916,9796,2906,4823,705,2130,1857,712,212,210,99,349,106,79,49,126,294,339,620,928,71.74762173190796,1.8487616981630581,98.15123830183694
12,12,175195,117868,57327,0,114070,52002,111952,2118,29580,5067,25740,17477,12731,10331,1329,3276,348,1817,1569,232,146,105,78,58,22,21,22,67,96,179,1216,445,65.11030565940808,1.8567546243534672,98.14324537564654
